fold,best_threshold,f1,precision,recall
0,0.84043276,0.8045111676001864,0.8288045837312267,0.7816013535640214
1,0.8200277,0.79471781383266,0.8303300624442462,0.7620347123676454
2,0.84764403,0.7712661567223498,0.8113082507455492,0.7349907215369501
3,0.9147388,0.795437899820644,0.821677914824296,0.770821962667831
4,0.8881142,0.8046727316552867,0.8463020958805108,0.7669468398646436
