epoch,train_acc,train_f1,train_loss,test_acc,test_f1,test_loss
1,0.6293937584838972,0.15784410483396635,0.8210910544704586,0.6655281673287704,0.13261308852953882,0.7749972968194392
2,0.6390646244016716,0.1700213783531354,0.716529302999811,0.6642952184942326,0.13303997428988157,0.6961890411902469
3,0.6455095529641955,0.17521550000935662,0.6833404488161992,0.6616416981764227,0.131435002481853,0.6737686925841019
4,0.6506986910898104,0.1787017791783356,0.6651261162573362,0.6601694347389078,0.13071882621428643,0.6619964607452057
5,0.6547314783706092,0.18094840811781426,0.6534693009457205,0.6592791844158331,0.12963080700141338,0.6545198861972064
6,0.65790294330225,0.1824986633398681,0.6454778575062469,0.6592849279663046,0.12921535239661008,0.6492988845199179
7,0.6605092111405977,0.18353474917902343,0.6397532797080765,0.6598477959125065,0.1290942423262061,0.6454326047729227
8,0.662651183824688,0.1844029301957235,0.6355121426448449,0.660512133250371,0.12881798931921018,0.6424537804323119
9,0.6644147742373953,0.18509417346098123,0.6322809843228947,0.6614751352127507,0.12860493997516212,0.6400928129727967
10,0.6659725393179394,0.1856910496646688,0.6297594591031773,0.6621624467525008,0.12834229881991477,0.638181344067694
11,0.6672641572549408,0.18618155155763796,0.6277500133299159,0.6629512276839132,0.1283019989007779,0.6366076747559339
12,0.6684270886609983,0.1866382321579586,0.6261187902086811,0.663590676303068,0.12830701610782871,0.6352941671788452
13,0.66935092634195,0.18704315592292842,0.6247727450659112,0.6643086201119992,0.1283295385624944,0.6341848875064157
14,0.670090873894877,0.1873708893975769,0.6236457280851032,0.6648083090030154,0.12827062203434558,0.6332384001110718
15,0.6706911673147911,0.18761025552224594,0.6226897546133581,0.665166323649069,0.1281903014834902,0.6324233293856233
16,0.671323632367441,0.18791076970881646,0.6218693818263102,0.6656047480017231,0.12830199979038884,0.6317154968121901
17,0.6718285076493541,0.18816896517107873,0.6211579996191201,0.6660201981524912,0.1284062634276978,0.6310960010479155
18,0.6722500291555422,0.1883918370598641,0.6205353310210014,0.6664069305509022,0.12843137254901962,0.6305498879977106
19,0.6726455940035001,0.18855008319105668,0.6199857143313845,0.6668281242521419,0.12851176346864576,0.6300652044433412
