config_id,fold,epoch,train_loss,train_acc,val_acc,f1_score
new_architect,0,1,0.58,0.8805,0.9118,0.398
new_architect,0,2,0.4999,0.9445,0.9251,0.431
new_architect,0,3,0.4629,0.9523,0.9255,0.4444
new_architect,0,4,0.4388,0.9562,0.9263,0.4679
new_architect,0,5,0.4199,0.9588,0.9317,0.4748
new_architect,0,6,0.4053,0.9606,0.9341,0.4821
new_architect,0,7,0.3935,0.9621,0.9304,0.4944
new_architect,0,8,0.3828,0.9632,0.9325,0.4931
new_architect,0,9,0.3731,0.9642,0.9341,0.4998
new_architect,0,10,0.3648,0.9654,0.9338,0.5048
new_architect,0,11,0.3589,0.9657,0.9354,0.5151
new_architect,0,12,0.3506,0.9668,0.9352,0.513
new_architect,0,13,0.3441,0.9676,0.9349,0.5172
new_architect,0,14,0.3384,0.968,0.9355,0.5198
new_architect,0,15,0.3329,0.9686,0.9366,0.5239
new_architect,0,16,0.3281,0.969,0.9374,0.5243
new_architect,0,17,0.3249,0.9694,0.9364,0.5243
new_architect,0,18,0.3189,0.97,0.9384,0.536
new_architect,0,19,0.3156,0.9703,0.9396,0.5365
new_architect,0,20,0.3111,0.9708,0.9383,0.5327
new_architect,0,21,0.3075,0.9712,0.9375,0.537
new_architect,0,22,0.3047,0.9714,0.938,0.5385
new_architect,0,23,0.3007,0.972,0.9397,0.5418
new_architect,0,24,0.2983,0.972,0.9413,0.5484
new_architect,0,25,0.295,0.9723,0.9397,0.5438
new_architect,0,26,0.2918,0.9728,0.9412,0.5441
new_architect,0,27,0.2895,0.973,0.9406,0.5464
new_architect,0,28,0.2867,0.9733,0.9406,0.5493
new_architect,0,29,0.2841,0.9735,0.9401,0.548
new_architect,0,30,0.2824,0.9736,0.9396,0.5457
new_architect,0,31,0.28,0.9739,0.9399,0.5462
new_architect,0,32,0.2776,0.9741,0.9394,0.5502
new_architect,0,33,0.2754,0.9744,0.9404,0.5521
new_architect,0,34,0.2731,0.9747,0.9407,0.5512
new_architect,0,35,0.2719,0.9747,0.9406,0.5478
new_architect,0,36,0.2694,0.9749,0.9409,0.5496
new_architect,0,37,0.2684,0.9751,0.942,0.5489
new_architect,0,38,0.2665,0.9752,0.9414,0.5501
new_architect,1,1,0.5592,0.8828,0.9308,0.3551
new_architect,1,2,0.4806,0.942,0.9436,0.3968
new_architect,1,3,0.4477,0.9492,0.9507,0.4361
new_architect,1,4,0.4263,0.9532,0.9476,0.455
new_architect,1,5,0.4099,0.9556,0.95,0.4556
new_architect,1,6,0.3971,0.9574,0.9496,0.47
new_architect,1,7,0.3862,0.9589,0.9564,0.4828
new_architect,1,8,0.3756,0.9602,0.9504,0.4747
new_architect,1,9,0.3668,0.9612,0.9556,0.4824
new_architect,1,10,0.3583,0.9622,0.9536,0.4909
new_architect,1,11,0.3501,0.9632,0.9535,0.4976
new_architect,1,12,0.3436,0.9639,0.9546,0.4992
new_architect,1,13,0.3375,0.9645,0.9535,0.4991
new_architect,1,14,0.3305,0.9654,0.956,0.5115
new_architect,1,15,0.3254,0.9659,0.9576,0.5161
new_architect,1,16,0.3198,0.9664,0.9557,0.5111
new_architect,1,17,0.3148,0.967,0.9569,0.5165
new_architect,1,18,0.3103,0.9675,0.9568,0.5224
new_architect,1,19,0.3066,0.9679,0.9579,0.5246
new_architect,1,20,0.3021,0.9683,0.9585,0.5267
new_architect,1,21,0.2984,0.9688,0.9577,0.5291
new_architect,1,22,0.294,0.9693,0.9587,0.5267
new_architect,1,23,0.292,0.9695,0.9586,0.537
new_architect,1,24,0.2888,0.9698,0.96,0.5381
new_architect,1,25,0.2852,0.9703,0.9581,0.5375
new_architect,1,26,0.2815,0.9706,0.9589,0.5419
